,week,dt,Cases,temp,feels_like,pressure,humidity,precipitation
109,2024-6,2024-02-05,13.0,303.38,309.18,1014.0,58.0,0.0
110,2024-7,2024-02-12,14.0,301.42,306.31,1015.0,67.0,0.0
111,2024-8,2024-02-19,20.0,303.31,308.83,1013.0,55.0,0.0
112,2024-9,2024-02-26,11.0,303.41,308.67,1013.0,53.0,0.0
113,2024-10,2024-03-04,15.0,304.71,310.61,1011.0,55.0,0.0
114,2024-11,2024-03-11,8.0,304.69,309.07,1013.0,50.0,0.0
115,2024-12,2024-03-18,11.0,304.46,308.62,1011.0,49.0,0.0
116,2024-13,2024-03-25,9.0,304.7,310.39,1012.0,52.0,0.0
117,2024-14,2024-04-01,8.0,306.88,312.26,1011.0,45.0,0.0
118,2024-15,2024-04-08,3.0,306.6,309.73,1010.0,38.0,0.0
119,2024-16,2024-04-15,9.0,306.56,313.25,1011.0,53.0,0.13
120,2024-17,2024-04-22,3.0,306.91,312.94,1008.0,54.0,0.0
121,2024-18,2024-04-29,6.0,306.75,313.53,1009.0,46.0,0.0
122,2024-19,2024-05-06,7.0,306.66,313.52,1009.0,54.0,0.0
123,2024-20,2024-05-13,4.0,307.83,315.57,1008.0,50.0,0.0
124,2024-21,2024-05-20,6.0,306.77,312.36,1007.0,52.0,7.49
125,2024-22,2024-05-27,1.0,304.03,309.31,1008.0,69.0,21.36
126,2024-23,2024-06-03,7.0,305.39,312.02,1008.0,61.0,0.45
127,2024-24,2024-06-10,4.0,306.09,310.22,1010.0,58.0,13.81
128,2024-25,2024-06-17,4.0,303.4,308.5,1009.0,69.0,17.88
129,2024-26,2024-06-24,14.0,303.1,309.68,1009.0,72.0,4.53
130,2024-27,2024-07-01,28.0,302.61,309.94,1009.0,72.0,15.29
131,2024-28,2024-07-08,40.0,303.1,310.66,1008.0,72.0,52.13
132,2024-29,2024-07-15,73.0,301.54,309.37,1008.0,79.0,4.27
133,2024-30,2024-07-22,84.0,301.48,309.31,1009.0,76.0,48.5
134,2024-31,2024-07-29,181.0,302.75,310.26,1009.0,71.0,0.0
135,2024-32,2024-08-05,226.0,302.21,308.09,1009.0,75.0,8.78
136,2024-33,2024-08-12,205.0,303.05,310.61,1007.0,70.0,4.91
137,2024-34,2024-08-19,209.0,303.62,309.9,1009.0,67.0,11.63
138,2024-35,2024-08-26,162.0,302.49,308.39,1008.0,73.0,10.55
139,2024-36,2024-09-02,103.0,301.38,305.39,1009.0,83.0,9.78
